,Holder,Shares,Date Reported,% Out,Value,Ticker,%Shares
0,"Vanguard Group, Inc. (The)",97500198,2021-06-29,0.08039999999999999,9158193598,AMD,22.0
1,Blackrock Inc.,85529419,2021-06-29,0.0705,8033778326,AMD,19.0
2,State Street Corporation,43978929,2021-06-29,0.0363,4130940800,AMD,10.0
3,Price (T.Rowe) Associates Inc,42699742,2021-06-29,0.0352,4010786766,AMD,9.0
4,Capital World Investors,41061159,2021-06-29,0.0339,3856874664,AMD,9.0
5,JP Morgan Chase & Company,34559339,2021-06-29,0.0285,3246158712,AMD,8.0
6,"FMR, LLC",30750462,2021-06-29,0.0254,2888390895,AMD,7.0
7,"Wellington Management Group, LLP",24076572,2021-06-29,0.019799999999999998,2261512407,AMD,5.0
8,"Geode Capital Management, LLC",18814414,2021-06-29,0.0155,1767237907,AMD,4.0
9,Artisan Partners Limited Partnership,12858635,2021-06-29,0.0106,1207811585,AMD,2.0
0,"Vanguard Group, Inc. (The)",38170875,2021-06-29,0.0801,22354391235,ADBE,23.0
1,Blackrock Inc.,35552254,2021-06-29,0.0746,20820822032,ADBE,22.0
2,"FMR, LLC",23568183,2021-06-29,0.0495,13802470692,ADBE,14.0
3,State Street Corporation,18951950,2021-06-29,0.0398,11099019998,ADBE,11.0
4,Bank Of New York Mellon Corporation,8545011,2021-06-29,0.0179,5004300242,ADBE,5.0
5,"Geode Capital Management, LLC",8253684,2021-06-29,0.0173,4833687497,ADBE,5.0
6,Primecap Management Company,7323998,2021-06-29,0.0154,4289226188,ADBE,4.0
7,Morgan Stanley,7026969,2021-06-29,0.0148,4115274125,ADBE,4.0
8,Janus Henderson Group PLC,6983328,2021-06-29,0.0147,4089716209,ADBE,4.0
9,Jennison Associates LLC,6639024,2021-06-29,0.0139,3888078015,ADBE,4.0
0,"Vanguard Group, Inc. (The)",6821063,2021-06-29,0.0863,4167669493,ALGN,21.0
1,Blackrock Inc.,5574652,2021-06-29,0.0706,3406112372,ALGN,17.0
2,Edgewood Management Company,4473101,2021-06-29,0.056600000000000004,2733064711,ALGN,14.0
3,State Street Corporation,2979824,2021-06-29,0.0377,1820672464,ALGN,9.0
4,"Sands Capital Management, LLC",2889769,2021-06-29,0.0366,1765648859,ALGN,9.0
5,"Wellington Management Group, LLP",1887363,2021-06-29,0.0239,1153178793,ALGN,6.0
6,JP Morgan Chase & Company,1675402,2021-06-29,0.0212,1023670622,ALGN,5.0
7,"AllianceBernstein, L.P.",1654546,2021-06-29,0.0209,1010927606,ALGN,5.0
8,"Polen Capital Management, LLC",1634605,2021-06-29,0.0207,998743655,ALGN,5.0
9,Janus Henderson Group PLC,1462123,2021-06-29,0.018500000000000003,893357153,ALGN,4.0
0,"Vanguard Group, Inc. (The)",32727219,2021-06-29,0.0646,112586869715,AMZN,24.0
1,Blackrock Inc.,27547904,2021-06-29,0.054400000000000004,94769197424,AMZN,20.0
2,Price (T.Rowe) Associates Inc,16173783,2021-06-29,0.0319,55640401325,AMZN,12.0
3,State Street Corporation,15963398,2021-06-29,0.0315,54916643263,AMZN,11.0
4,"FMR, LLC",15446833,2021-06-29,0.0305,53139577013,AMZN,11.0
5,"Geode Capital Management, LLC",6749351,2021-06-29,0.013300000000000001,23218847336,AMZN,5.0
6,Morgan Stanley,5148390,2021-06-29,0.0102,17711285342,AMZN,3.0
7,Northern Trust Corporation,4840325,2021-06-29,0.0096,16651492452,AMZN,3.0
8,Norges Bank Investment Management,4567893,2020-12-30,0.009000000000000001,14877307748,AMZN,3.0
9,JP Morgan Chase & Company,4491718,2021-06-29,0.0089,15452228594,AMZN,3.0
0,Blackrock Inc.,47824902,2021-06-29,0.0842,11657319862,AMGN,22.0
1,"Vanguard Group, Inc. (The)",47110872,2021-06-29,0.083,11483275050,AMGN,21.0
2,State Street Corporation,29931381,2021-06-29,0.0527,7295774118,AMGN,13.0
3,Capital Research Global Investors,29310617,2021-06-29,0.0516,7144462893,AMGN,13.0
4,Primecap Management Company,16249072,2021-06-29,0.0286,3960711300,AMGN,7.0
5,"FMR, LLC",10890259,2021-06-29,0.0192,2654500631,AMGN,5.0
6,Morgan Stanley,10040932,2021-06-29,0.0177,2447477175,AMGN,4.0
7,"Geode Capital Management, LLC",9994174,2021-06-29,0.0176,2436079912,AMGN,4.0
8,Northern Trust Corporation,7579004,2021-06-29,0.013300000000000001,1847382225,AMGN,3.0
9,"Charles Schwab Investment Management, Inc.",7242037,2021-06-29,0.0128,1765246518,AMGN,3.0
0,"Vanguard Group, Inc. (The)",41511648,2021-06-29,0.0837,3511470304,AEP,22.0
1,Blackrock Inc.,37981281,2021-06-29,0.0766,3212836559,AEP,20.0
2,State Street Corporation,24396878,2021-06-29,0.0492,2063731910,AEP,12.0
3,Price (T.Rowe) Associates Inc,23153653,2021-06-29,0.0467,1958567507,AEP,12.0
4,"Wellington Management Group, LLP",13967629,2021-06-29,0.0282,1181521737,AEP,7.0
5,"Franklin Resources, Inc.",13044280,2021-06-29,0.0263,1103415645,AEP,6.0
6,Massachusetts Financial Services Co.,10067817,2021-06-29,0.0203,851636640,AEP,5.0
7,Capital Research Global Investors,8110447,2021-06-29,0.0163,686062711,AEP,4.0
8,"Ameriprise Financial, Inc.",8081026,2021-06-29,0.0163,683573989,AEP,4.0
9,Wells Fargo & Company,7853372,2021-06-29,0.0158,664316737,AEP,4.0
0,JP Morgan Chase & Company,33344669,2021-06-29,0.0906,5740618215,ADI,20.0
1,"Vanguard Group, Inc. (The)",31268828,2021-06-29,0.0849,5383241428,ADI,19.0
2,Blackrock Inc.,29504139,2021-06-29,0.0801,5079432570,ADI,18.0
3,State Street Corporation,12746257,2021-06-29,0.0346,2194395605,ADI,7.0
4,Massachusetts Financial Services Co.,11105509,2021-06-29,0.0302,1911924429,ADI,6.0
5,"FMR, LLC",10306157,2021-06-29,0.027999999999999997,1774307989,ADI,6.0
6,"Franklin Resources, Inc.",9209103,2021-06-29,0.025,1585439172,ADI,5.0
7,Wells Fargo & Company,8813013,2021-06-29,0.0239,1517248318,ADI,5.0
8,Lazard Asset Management LLC,8079956,2021-06-29,0.0219,1391045224,ADI,5.0
9,"Ameriprise Financial, Inc.",6057370,2021-06-29,0.0165,1042836819,ADI,3.0
0,"Vanguard Group, Inc. (The)",9312427,2021-06-29,0.1067,3231970914,ANSS,25.0
1,Blackrock Inc.,7316498,2021-06-29,0.0839,2539263795,ANSS,19.0
2,"Aristotle Capital Management, LLC",4466626,2021-06-29,0.0512,1550187219,ANSS,12.0
3,State Street Corporation,3396576,2021-06-29,0.038900000000000004,1178815666,ANSS,9.0
4,"FMR, LLC",2793476,2021-06-29,0.032,969503780,ANSS,7.0
5,Massachusetts Financial Services Co.,2705644,2021-06-29,0.031,939020806,ANSS,7.0
6,BAMCO Inc.,2138061,2021-06-29,0.0245,742035450,ANSS,5.0
7,"Principal Financial Group, Inc.",1589977,2021-06-29,0.0182,551817417,ANSS,4.0
8,"Geode Capital Management, LLC",1548271,2021-06-29,0.0177,537342933,ANSS,4.0
9,Ownership Capital B.V.,1414795,2021-06-29,0.016200000000000003,491018752,ANSS,3.0
0,"Vanguard Group, Inc. (The)",1264936543,2021-06-29,0.0765,173245708929,AAPL,24.0
1,Blackrock Inc.,1028698316,2021-06-29,0.0622,140890521359,AAPL,20.0
2,"Berkshire Hathaway, Inc",887135554,2021-06-29,0.0537,121502085475,AAPL,17.0
3,State Street Corporation,622579947,2021-06-29,0.0377,85268549541,AAPL,12.0
4,"FMR, LLC",350462986,2021-06-29,0.0212,47999410562,AAPL,6.0
5,"Geode Capital Management, LLC",254162496,2021-06-29,0.0154,34810095452,AAPL,4.0
6,Northern Trust Corporation,193253001,2021-06-29,0.011699999999999999,26467931016,AAPL,3.0
7,Price (T.Rowe) Associates Inc,192697039,2021-06-29,0.011699999999999999,26391786461,AAPL,3.0
8,Norges Bank Investment Management,167580974,2020-12-30,0.0101,22236319440,AAPL,3.0
9,Bank Of New York Mellon Corporation,153929495,2021-06-29,0.009300000000000001,21082183635,AAPL,3.0
0,"Vanguard Group, Inc. (The)",73525390,2021-06-29,0.0814,10470015536,AMAT,22.0
1,Blackrock Inc.,73481107,2021-06-29,0.0814,10463709636,AMAT,22.0
2,State Street Corporation,40213269,2021-06-29,0.044500000000000005,5726369505,AMAT,12.0
3,Price (T.Rowe) Associates Inc,28102544,2021-06-29,0.0311,4001802265,AMAT,8.0
4,Capital World Investors,25351472,2021-06-29,0.0281,3610049612,AMAT,7.0
5,"FMR, LLC",21693309,2021-06-29,0.024,3089127201,AMAT,6.0
